,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
0,100087,Cipla Ltd.,CIPLA#,"Cipla Ltd.,",Active,A ,2.0,INE059A01026, ,Equity,-,-,-,-
1,100112,State Bank Of India,SBIN#,"State Bank Of India,",Active,A ,1.0,INE062A01020,Public Sector Bank,Equity,-,Financial Services,-,-
2,100228,JSW Steel Limited,JSWSTEEL#,JSW SL,Active,A ,1.0,INE019A01038,Iron & Steel,Equity,-,Metals & Mining,-,-
3,100251,Trent Ltd [Lakme Ltd],TRENT#,TRENT,Active,A ,1.0,INE849A01020, ,Equity,-,-,-,-
4,100253,Lic Housing Finance Ltd.,LICHSGFIN#,Lic Housing Finance Ltd.,Active,A ,2.0,INE115A01026,Housing Finance Company,Equity,-,Financial Services,-,-
5,100290,M.R.F. Ltd.,MRF#,M.R.F LTD,Active,A ,10.0,INE883A01011, ,Equity,-,-,-,-
6,100295,Vedanta Limited,VEDL#,Vedanta Limited,Active,A ,1.0,INE205A01025,Diversified Metals,Equity,-,Metals & Mining,-,-
7,100312,Oil And Natural Gas Corporation Ltd,ONGC#,Oil And Natural Gas Corporation Ltd,Active,A ,5.0,INE213A01029,Oil Exploration & Production,Equity,-,"Oil, Gas & Consumable Fuels",-,-
8,100425,Ambuja Cements Ltd.,AMBUJACEM#,Ambuja Cements Ltd.,Active,A ,2.0,INE079A01024,Cement & Cement Products,Equity,-,Construction Materials,-,-
9,100440,Hindalco Industries Ltd.,HINDALCO#,Hindalco Industries Ltd.,Active,A ,1.0,INE038A01020,Aluminium,Equity,-,Metals & Mining,-,-
10,100477,Ashok Leyland Ltd.,ASHOKLEY#,ASHOK LEYLND,Active,A ,1.0,INE208A01029,Commercial Vehicles,Equity,-,Capital Goods,-,-
11,100483,Tata Communications Limited,TATACOMM#,TATA COMM,Active,A ,10.0,INE151A01013,Telecom - Cellular & Fixed line services,Equity,-,Telecommunication,-,-
12,100547,Bharat Petroleum Corpn. Ltd.,BPCL#,BHARAT PETRO,Active,A ,10.0,INE029A01011,Refineries & Marketing,Equity,-,"Oil, Gas & Consumable Fuels",-,-
13,100790,Nestle India Ltd.,NESTLEIND#,NESTLE LTD,Active,A ,1.0,INE239A01024,Packaged Foods,Equity,-,Fast Moving Consumer Goods,-,-
14,100850,Indian Hotels Co. Ltd,INDHOTEL#,Indian Hotels Co. Ltd,Active,A ,1.0,INE053A01029,Hotels & Resorts,Equity,-,Consumer Services,-,-
15,117334,Samvardhana Motherson International Limited,MOTHERSON#,Samvardhana Motherson International Limited,Active,A ,1.0,INE775A01035,Auto Components & Equipments,Equity,-,Automobile and Auto Components,-,-
16,126371,NMDC Ltd,NMDC#,NMDC Ltd,Active,A ,1.0,INE584A01023,Industrial Minerals,Equity,-,Metals & Mining,-,-
17,132134,Bank Of Baroda,BANKBARODA#,Bank Of Baroda,Active,A ,2.0,INE028A01039,Public Sector Bank,Equity,-,Financial Services,-,-
18,132400,BIRLASOFT LIMITED,BSOFT#,BIRLASOFT LIMITED,Active,A ,2.0,INE836A01035,Computers - Software & Consulting,Equity,-,Information Technology,-,-
19,132477,Union Bank of India,UNIONBANK#,UNION BANK,Active,A ,10.0,INE692A01016,Public Sector Bank,Equity,-,Financial Services,-,-
20,132488,Divi's Laboratories Ltd.,DIVISLAB#,Divi's Laboratories Ltd.,Active,A ,2.0,INE361B01024,Pharmaceuticals,Equity,-,Healthcare,-,-
21,132522,PETRONET LNG LTD.,PETRONET#,PETRONET LNG,Active,A ,10.0,INE347G01014,LPG/CNG/PNG/LNG Supplier,Equity,-,"Oil, Gas & Consumable Fuels",-,-
